7.0	0.9	3.5	4.0	4.2	19.6
7.0	0.9	4.5	2.5	4.2	19.1
2.5	4.9	2.5	4.0	0.0	13.9
6.5	6.9	4.0	2.5	0.0	19.9
1.5	4.9	1.5	3.0	2.6	13.5
7.0	1.5	3.0	5.0	5.8	22.3
6.0	0.0	3.5	1.0	6.6	17.1
3.0	5.4	2.0	3.5	4.4	18.3
3.5	1.9	3.0	4.5	2.2	15.1
5.0	6.8	4.0	5.0	6.6	27.4
3.0	1.5	5.0	4.5	4.8	18.8
5.0	3.9	4.0	3.0	3.6	19.5
6.0	3.0	4.0	3.0	1.0	17.0
7.0	4.0	1.0	0.0	0.0	12.0
7.0	6.0	4.0	4.0	2.8	23.8
3.0	5.0	3.0	1.5	2.6	15.1
7.0	2.4	4.0	0.0	3.8	17.2
7.0	5.5	2.0	3.0	0.0	17.5
7.0	0.2	3.5	2.0	0.8	13.5
2.5	6.9	3.5	0.0	3.6	16.5
6.5	6.3	3.0	3.0	3.4	22.2
2.0	1.9	2.0	0.0	0.0	5.9
7.0	3.0	4.5	3.0	3.7	21.2
3.0	0.5	2.5	3.0	3.6	12.6
7.0	0.0	2.5	4.5	0.2	14.2
5.5	3.5	3.5	2.0	6.4	20.9
5.0	3.3	4.5	5.0	2.8	20.6
7.0	5.5	5.0	4.0	5.3	26.8
7.0	4.8	5.0	2.5	6.2	25.5
0.5	0.0	2.0	0.0	1.6	4.1
7.0	1.7	3.5	0.0	4.5	16.7
7.0	4.9	4.0	4.0	5.2	25.1
7.0	4.0	3.0	1.5	6.2	21.7
2.0	3.0	2.0	0.0	3.5	10.5
7.0	6.4	5.0	4.5	6.8	29.7
7.0	3.9	5.0	0.0	4.2	20.1
5.0	4.0	4.0	5.0	5.6	23.6
2.0	3.0	2.5	2.0	6.4	15.9
7.0	2.2	4.5	3.0	5.2	21.9
7.0	7.0	5.0	3.0	4.2	26.2
4.0	0.0	3.5	5.0	6.6	19.1
6.0	5.5	4.0	4.5	6.4	26.4
1.0	0.0	2.0	3.0	2.6	8.6
5.0	0.0	3.5	0.0	4.6	13.1
2.5	0.0	3.5	4.5	7.0	17.5
2.0	2.8	0.0	0.5	3.8	9.1
5.0	2.0	5.0	4.5	2.8	19.3
7.0	4.0	4.0	5.0	4.8	24.8
7.0	2.5	3.5	5.0	0.0	18.0
2.5	3.0	3.0	2.5	4.8	15.8
7.0	0.9	2.0	2.5	1.0	13.4
5.0	5.5	2.0	2.5	0.0	15.0
7.0	2.0	1.0	3.0	0.6	13.6
6.0	1.0	4.0	3.0	6.4	20.4
3.5	3.5	1.0	4.5	3.4	15.9
7.0	1.9	3.5	3.0	5.6	21.0
3.0	5.0	4.5	3.0	6.2	21.7
3.0	2.0	4.5	0.0	0.0	9.5
3.0	0.0	3.0	5.0	0.0	11.0
2.5	0.0	0.5	2.0	0.4	5.4
7.0	6.5	5.0	5.0	6.6	30.1
